profitability,title,release_date
5,Spider-Man,2002-05-01
5,"Fast Five",2011-04-20
5,"Life of Pi",2012-11-20
5,"Star Wars: Episode II - Attack of the Clones",2002-05-15
5,"Night at the Museum",2006-10-20
5,"The Smurfs",2011-07-29
5,"The Martian",2015-09-30
5,"Terminator 2: Judgment Day",1991-07-01
5,Cinderella,2015-03-12
5,"Rise of the Planet of the Apes",2011-08-03
5,"Toy Story 2",1999-10-30
5,"Sherlock Holmes",2009-12-23
5,Rio,2011-04-03
5,Twister,1996-05-10
5,"Ocean's Eleven",2001-12-07
5,"Mission: Impossible",1996-05-22
5,"Hotel Transylvania 2",2015-09-21
5,"A Beautiful Mind",2001-12-11
5,Signs,2002-08-02
5,"Alvin and the Chipmunks: The Squeakquel",2009-12-21
5,"What Women Want",2000-12-15
5,"Maze Runner: The Scorch Trials",2015-09-09
5,"Resident Evil: Afterlife",2010-09-09
5,Superman,1978-12-13
5,Hitch,2005-02-10
5,Casper,1995-05-26
5,"The Pursuit of Happyness",2006-12-14
5,"Kill Bill: Vol. 2",2004-04-16
5,"Jerry Maguire",1996-12-06
5,"Super 8",2011-06-08
5,Argo,2012-10-11
5,Hero,2002-12-19
5,"8 Mile",2002-11-08
5,"Spy Kids 3-D: Game Over",2003-07-25
5,"The Social Network",2010-09-30
5,Dracula,1992-11-13
5,"The Intern",2015-09-24
5,JFK,1991-12-20
5,Disturbia,2007-04-12
5,"The Ugly Truth",2009-07-24
5,"Cape Fear",1991-11-15
5,"Big Momma's House",2000-05-31
5,Elf,2003-10-09
5,Flight,2012-11-02
5,"The Grand Budapest Hotel",2014-02-26
5,"27 Dresses",2008-01-10
5,"Legends of the Fall",1994-12-16
5,"Midnight in Paris",2011-05-11
5,"A View to a Kill",1985-05-24
5,"P.S. I Love You",2007-11-15
5,"Step Up 3D",2010-08-04
5,"Die Hard",1988-07-15
5,"No Strings Attached",2011-01-21
5,"Star Trek IV: The Voyage Home",1986-11-25
5,"The Net",1995-07-28
5,"Jackass 3D",2010-10-15
5,Tammy,2014-07-02
5,"Return to Never Land",2002-02-14
5,Babel,2006-09-08
5,"Kung Fu Hustle",2004-02-10
5,"Sea of Love",1989-09-15
5,"Just Married",2003-01-09
5,"The Amityville Horror",2005-04-15
5,Predator,1987-06-11
5,Birdman,2014-08-27
5,"Blue Jasmine",2013-07-25
5,"United 93",2006-04-28
5,"Conan the Destroyer",1984-06-29
5,"Evil Dead",2013-04-05
5,"When Harry Met Sally...",1989-07-21
5,"Diary of a Wimpy Kid",2010-03-19
5,Drive,2011-08-06
5,"Match Point",2005-10-26
5,"Stomp the Yard",2007-05-16
5,"Urban Legend",1998-09-25
5,Downfall,2004-09-08
5,"Dude, Where’s My Car?",2000-12-15
5,Room,2015-10-16
5,"The Call",2013-03-14
5,Witness,1985-02-08
5,Crossroads,2002-02-15
5,"My Cousin Vinny",1992-03-13
5,Brooklyn,2015-10-20
5,Quartet,2012-09-08
5,"Woman in Gold",2015-04-10
5,"The Longest Day",1962-09-25
5,"The Mighty Ducks",1992-10-01
5,"Jeepers Creepers",2001-07-01
5,Commando,1985-10-03
5,"Sinister 2",2015-08-19
5,"My Week with Marilyn",2011-10-17
5,"Movie 43",2013-01-01
5,"Next Friday",2000-01-12
5,"Crazy Heart",2009-12-16
5,"The DUFF",2015-02-20
5,"Yeh Jawaani Hai Deewani",2013-05-31
5,"Escape from Alcatraz",1979-06-22
5,"Jumping the Broom",2011-05-06
5,"Devil's Due",2014-01-08
5,"Do the Right Thing",1989-06-30
5,"Rang De Basanti",2006-01-26
5,"20,000 Leagues Under the Sea",1954-12-23
5,"The Elephant Man",1980-10-02
5,"Clerks II",2006-05-25
5,"The Way Way Back",2013-06-06
5,"The Man from Snowy River",1982-03-02
5,"Apollo 18",2011-07-20
5,"Whale Rider",2003-01-30
5,"Margin Call",2011-09-28
5,"Cat on a Hot Tin Roof",1958-02-17
5,"Spaced Invaders",1990-04-27
5,"Jason Goes to Hell: The Final Friday",1993-08-13
5,"Halloween III: Season of the Witch",1982-10-22
5,"Boys Don't Cry",1999-09-02
5,"Before Sunset",2004-02-10
5,"Waltz with Bashir",2008-06-25
5,Bananas,1971-04-28
5,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964-01-29
5,"Battle for the Planet of the Apes",1973-06-15
5,"Conquest of the Planet of the Apes",1972-06-29
5,"The Trouble with Harry",1955-10-03
5,"The Good, the Bad and the Ugly",1966-12-23
5,"Safety Not Guaranteed",2012-06-08
5,"Top Hat",1935-09-06
5,"42nd Street",1933-02-02
5,Murderball,2005-07-22
5,"Children of Heaven",1997-08-01
4,"The Dark Knight Rises",2012-07-16
4,"Captain America: Civil War",2016-04-27
4,"Indiana Jones and the Kingdom of the Crystal Skull",2008-05-21
4,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07
4,Up,2009-05-13
4,"Iron Man",2008-04-30
4,"Suicide Squad",2016-08-02
4,"Inside Out",2015-06-09
4,Maleficent,2014-05-28
4,"Dawn of the Planet of the Apes",2014-06-26
4,"Captain America: The Winter Soldier",2014-03-20
4,"Shrek Forever After",2010-05-16
4,"Guardians of the Galaxy",2014-07-30
4,Interstellar,2014-11-05
4,"The Hobbit: An Unexpected Journey",2012-11-26
4,"The Hunger Games: Mockingjay - Part 2",2015-11-18
4,"Shrek the Third",2007-05-17
4,Transformers,2007-06-27
4,Hancock,2008-07-01
4,Ratatouille,2007-06-22
4,"Madagascar: Escape 2 Africa",2008-10-30
4,"The Matrix Reloaded",2003-05-15
4,"Mission: Impossible - Rogue Nation",2015-07-23
