title,popularity,release_date
"Spirit: Stallion of the Cimarron",41,2002-05-24
"Cloudy with a Chance of Meatballs 2",41,2013-09-26
RED,41,2010-10-13
"Seven Pounds",41,2008-12-18
"The Beach",41,2000-02-11
Insomnia,41,2002-05-24
Apocalypto,41,2006-12-07
"Fantastic Mr. Fox",41,2009-10-23
"Paul Blart: Mall Cop 2",41,2015-04-16
"The Longest Ride",41,2015-04-09
"DodgeBall: A True Underdog Story",41,2004-06-18
"13 Going on 30",41,2004-04-13
"3 Days to Kill",41,2014-02-14
"Pineapple Express",41,2008-08-06
"The Road",41,2009-11-25
Spotlight,41,2015-11-06
"Moonrise Kingdom",41,2012-05-16
Sinister,41,2012-03-29
Unfriended,41,2015-04-17
"The Taking of Pelham 1 2 3",40,2009-06-11
"Charlie's Angels",40,2000-11-02
"You Don't Mess with the Zohan",40,2008-06-05
"Percy Jackson: Sea of Monsters",40,2013-08-07
"The Brothers Grimm",40,2005-08-26
"Journey 2: The Mysterious Island",40,2012-01-19
"Austin Powers in Goldmember",40,2002-07-26
"Beautiful Creatures",40,2013-02-13
"Child 44",40,2015-03-15
"Friends with Benefits",40,2011-07-21
"Resident Evil",40,2002-03-15
"The Princess Diaries",40,2001-08-03
"Kick-Ass 2",40,2013-07-17
"Bridge to Terabithia",40,2007-02-16
"The Descendants",40,2011-09-09
"The DUFF",40,2015-02-20
Shame,40,2011-10-02
"The Wrestler",40,2008-09-07
Maggie,40,2015-05-08
"The Raid",40,2011-09-08
"A Christmas Carol",39,2009-11-04
Alexander,39,2004-11-21
"White House Down",39,2013-06-27
R.I.P.D.,39,2013-07-18
"Teenage Mutant Ninja Turtles: Out of the Shadows",39,2016-06-01
"Sucker Punch",39,2011-03-24
ParaNorman,39,2012-08-03
Paddington,39,2014-11-27
"The Watch",39,2012-07-26
"Me, Myself & Irene",39,2000-06-22
"American Reunion",39,2012-04-04
"Aliens vs Predator: Requiem",39,2007-12-25
Ponyo,39,2008-07-19
"O Brother, Where Art Thou?",39,2000-08-30
"The Girl Next Door",39,2004-04-09
"Hail, Caesar!",39,2016-02-05
Brooklyn,39,2015-10-20
"Mr. Peabody & Sherman",38,2014-02-07
"Bad Boys II",38,2003-07-18
"Fantastic Four",38,2015-08-05
"Treasure Planet",38,2002-11-26
Valkyrie,38,2008-12-25
"Scott Pilgrim vs. the World",38,2010-07-27
"Grown Ups",38,2010-06-24
"Abraham Lincoln: Vampire Hunter",38,2012-06-20
"This Means War",38,2012-02-14
Contagion,38,2011-09-08
"Date Night",38,2010-04-08
"Zero Dark Thirty",38,2012-12-19
"Anchorman 2: The Legend Continues",38,2013-12-18
"Daddy's Home",38,2015-12-25
"We Bought a Zoo",38,2011-12-22
Unknown,38,2011-02-16
"Final Destination 5",38,2011-08-12
"This Is 40",38,2012-12-20
"This Is the End",38,2013-06-12
Zoolander,38,2001-09-28
"Money Monster",38,2016-05-12
"The 40 Year Old Virgin",38,2005-08-11
"The Passion of the Christ",38,2004-02-25
"No Strings Attached",38,2011-01-21
"Final Destination",38,2000-03-16
"Hot Fuzz",38,2007-02-14
Trance,38,2013-03-27
"Phone Booth",38,2002-09-09
"The Boy",38,2016-01-22
"The Neon Demon",38,2016-06-08
"No Escape",38,2015-08-26
"The Visit",38,2015-09-10
Hostel,38,2005-01-06
"What Happens in Vegas",38,2008-05-07
"Robin Hood",37,2010-05-12
"Real Steel",37,2011-09-28
"The Island",37,2005-07-20
"Legend of the Guardians: The Owls of Ga'Hoole",37,2010-07-10
"The Road to El Dorado",37,2000-03-31
Unstoppable,37,2010-11-04
"Happy Feet",37,2006-11-16
"Just Go with It",37,2011-02-10
Immortals,37,2011-11-10
"Body of Lies",37,2008-10-10
"The Scorpion King",37,2002-04-16
Shooter,37,2007-03-22
"Super 8",37,2011-06-08
"Crazy, Stupid, Love.",37,2011-07-29
"Zoolander 2",37,2016-02-06
"Love Actually",37,2003-09-07
"The Heat",37,2013-06-27
"Lone Survivor",37,2013-12-24
"The Time Traveler's Wife",37,2009-08-14
"The Walk",37,2015-09-30
"The Imaginarium of Doctor Parnassus",37,2009-10-01
"Safe Haven",37,2013-02-07
"Final Destination 2",37,2003-01-31
"There Will Be Blood",37,2007-12-28
"A Most Violent Year",37,2014-12-30
"The Mist",37,2007-11-21
"That Awkward Moment",37,2014-01-29
"I Origins",37,2014-07-18
"Monsters vs Aliens",36,2009-03-19
"Master and Commander: The Far Side of the World",36,2003-11-14
"The Smurfs",36,2011-07-29
Epic,36,2013-05-15
"The Three Musketeers",36,2011-08-31
"Tower Heist",36,2011-11-02
"Over the Hedge",36,2006-04-22
Swordfish,36,2001-06-07
Surrogates,36,2009-09-24
"Monster House",36,2006-07-21
"The SpongeBob Movie: Sponge Out of Water",36,2015-02-05
Lincoln,36,2012-11-09
"xXx: State of the Union",36,2005-04-27
"American Wedding",36,2003-08-01
"Scary Movie 3",36,2003-10-24
"A Knight's Tale",36,2001-05-11
"The Proposal",36,2009-06-01
"Get Hard",36,2015-03-26
"American Pie 2",36,2001-08-10
"Pride & Prejudice",36,2005-09-16
"Lucky Number Slevin",36,2006-02-24
"Scary Movie 5",36,2013-04-11
Neighbors,36,2014-05-08
"Mean Girls",36,2004-04-30
"Saw: The Final Chapter",36,2010-10-21
"The Illusionist",36,2006-08-18
"Remember Me",36,2010-03-12
"Inside Llewyn Davis",36,2013-10-06
Melancholia,36,2011-05-26
"Spider-Man 2",35,2004-06-25
"The Sorcerer's Apprentice",35,2010-07-13
Beowulf,35,2007-11-05
"Rush Hour 2",35,2001-08-03
"The Little Prince",35,2015-07-29
"Children of Men",35,2006-09-22
"The Pacifier",35,2005-03-04
"Eastern Promises",35,2007-09-14
"Scary Movie 2",35,2001-07-04
"Johnny English Reborn",35,2011-09-15
"Scream 4",35,2011-04-11
Concussion,35,2015-11-12
"The Punisher",35,2004-04-15
"The Assassination of Jesse James by the Coward Robert Ford",35,2007-09-02
"Walk the Line",35,2005-09-13
"Bridget Jones's Diary",35,2001-04-13
"The Counselor",35,2013-10-25
1408,35,2007-07-12
Homefront,35,2013-11-27
Lockout,35,2012-04-12
"Crank: High Voltage",35,2009-04-16
"The Hills Have Eyes",35,2006-03-10
"The Place Beyond the Pines",35,2013-03-20
